date,State,wuhan virus lab,wuhan lab corona virus,virus lab in wuhan,wuhan bio lab,wuhan virology lab,wuhan p4 lab,wuhan level 4 lab,avg
2020-01-25,Alabama,0,0,0,0,0,0,0,0.0
2020-01-25,Alaska,0,0,0,0,0,0,0,0.0
2020-01-25,Arizona,0,0,0,0,0,0,0,0.0
2020-01-25,Arkansas,0,0,0,0,0,0,0,0.0
2020-01-25,California,7,100,100,13,0,0,100,45.714285714285715
2020-01-25,Colorado,0,0,0,0,0,0,0,0.0
2020-01-25,Connecticut,0,0,0,0,0,0,0,0.0
2020-01-25,Delaware,0,0,0,0,0,0,0,0.0
2020-01-25,District of Columbia,0,0,0,0,0,0,0,0.0
2020-01-25,Florida,0,0,0,23,0,0,0,3.2857142857142856
2020-01-25,Georgia,0,0,0,0,0,0,0,0.0
2020-01-25,Hawaii,0,0,0,0,0,0,0,0.0
2020-01-25,Idaho,0,0,0,0,0,0,0,0.0
2020-01-25,Illinois,0,0,0,0,0,0,0,0.0
2020-01-25,Indiana,0,0,0,0,0,0,0,0.0
2020-01-25,Iowa,0,0,0,0,0,0,0,0.0
2020-01-25,Kansas,0,0,0,0,0,0,0,0.0
2020-01-25,Kentucky,0,0,0,0,0,0,0,0.0
2020-01-25,Louisiana,52,0,0,0,0,0,0,7.428571428571429
2020-01-25,Maine,0,0,0,0,0,0,0,0.0
2020-01-25,Maryland,29,0,0,81,0,0,0,15.714285714285714
2020-01-25,Massachusetts,0,0,0,0,0,0,0,0.0
2020-01-25,Michigan,0,0,0,0,0,0,0,0.0
2020-01-25,Minnesota,0,0,0,0,0,0,0,0.0
2020-01-25,Mississippi,0,0,0,0,0,0,0,0.0
2020-01-25,Missouri,0,0,0,0,0,0,0,0.0
2020-01-25,Montana,0,0,0,0,0,0,0,0.0
2020-01-25,Nebraska,0,0,0,0,0,0,0,0.0
2020-01-25,Nevada,0,0,0,0,0,0,0,0.0
2020-01-25,New Hampshire,0,0,0,0,0,0,0,0.0
2020-01-25,New Jersey,0,0,0,0,0,0,0,0.0
2020-01-25,New Mexico,100,0,0,0,0,0,0,14.285714285714286
2020-01-25,New York,8,0,0,0,0,0,0,1.1428571428571428
2020-01-25,North Carolina,0,0,0,0,0,0,0,0.0
2020-01-25,North Dakota,0,0,0,0,0,0,0,0.0
2020-01-25,Ohio,0,0,0,0,0,0,0,0.0
2020-01-25,Oklahoma,0,0,0,0,0,0,0,0.0
2020-01-25,Oregon,0,0,0,0,0,0,0,0.0
2020-01-25,Pennsylvania,0,0,0,0,0,0,0,0.0
2020-01-25,Rhode Island,0,0,0,0,0,0,0,0.0
2020-01-25,South Carolina,0,0,0,0,0,0,0,0.0
2020-01-25,South Dakota,0,0,0,0,0,0,0,0.0
2020-01-25,Tennessee,28,0,0,0,0,0,0,4.0
2020-01-25,Texas,6,0,0,0,0,100,0,15.142857142857142
2020-01-25,Utah,0,0,0,0,0,0,0,0.0
2020-01-25,Vermont,0,0,0,0,0,0,0,0.0
2020-01-25,Virginia,20,0,0,0,0,0,0,2.857142857142857
2020-01-25,Washington,24,0,0,0,0,0,0,3.4285714285714284
2020-01-25,West Virginia,0,0,0,0,0,0,0,0.0
2020-01-25,Wisconsin,0,0,0,100,0,0,0,14.285714285714286
2020-01-25,Wyoming,0,0,0,0,0,0,0,0.0
2020-01-26,Alabama,0,0,0,0,0,0,0,0.0
2020-01-26,Alaska,0,0,0,0,0,0,0,0.0
2020-01-26,Arizona,0,0,0,0,0,0,0,0.0
2020-01-26,Arkansas,100,0,0,0,0,0,0,14.285714285714286
2020-01-26,California,5,100,0,25,0,100,0,32.857142857142854
2020-01-26,Colorado,0,0,0,0,0,0,0,0.0
2020-01-26,Connecticut,58,0,0,0,0,0,0,8.285714285714286
2020-01-26,Delaware,0,0,0,0,0,0,0,0.0
2020-01-26,District of Columbia,0,0,0,0,0,0,0,0.0
2020-01-26,Florida,0,0,0,47,0,0,0,6.714285714285714
2020-01-26,Georgia,0,0,0,0,0,0,0,0.0
2020-01-26,Hawaii,0,0,0,0,0,0,0,0.0
2020-01-26,Idaho,0,0,0,0,0,0,0,0.0
2020-01-26,Illinois,16,0,0,76,0,0,0,13.142857142857142
2020-01-26,Indiana,0,0,0,0,0,0,0,0.0
2020-01-26,Iowa,0,0,0,0,0,0,0,0.0
2020-01-26,Kansas,0,0,0,0,0,0,0,0.0
2020-01-26,Kentucky,0,0,0,0,0,0,0,0.0
2020-01-26,Louisiana,0,0,0,0,0,0,0,0.0
2020-01-26,Maine,0,0,0,0,0,0,0,0.0
2020-01-26,Maryland,0,0,0,0,0,0,0,0.0
2020-01-26,Massachusetts,0,0,0,0,0,0,0,0.0
2020-01-26,Michigan,0,0,0,0,0,0,0,0.0
